"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051225","GO:0051225","spindle assembly","22/1308","127/18842",0.173228346456693,2.49538876447783,4.61823899168923,5.90655602045752e-05,0.00203462956250154,0.00203462956250154,"RACGAP1/STIL/UHRF1/BIRC5/GPSM2/KIF4B/AURKB/MAPK15/SPAG5/PRC1/KIF4A/SKA1/KIF15/PLK1/KIF11/CDCA8/KIF23/NDC80/TPX2/KIFC1/SKA3/NEK2",22
"GO:0007062","GO:0007062","sister chromatid cohesion","14/1308","62/18842",0.225806451612903,3.25278682055835,4.85270055490676,6.98323898711274e-05,0.00238742764469185,0.00238742764469185,"SMC1B/HORMAD1/ESPL1/SGO1/DSCC1/BUB1/CDCA5/SGO2/PLK1/FEN1/RAD21L1/BUB1B/HASPIN/ESCO2",14
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","6/1308","12/18842",0.5,7.20259938837921,5.8702222023699,7.10056436020542e-05,0.00240942284670552,0.00240942284670553,"GINS2/CDC45/CDC7/MCM2/GINS4/MCM4",6
"GO:0021515","GO:0021515","cell differentiation in spinal cord","7/1308","17/18842",0.411764705882353,5.93155243748876,5.55591981584691,8.00298217320531e-05,0.00269552295863441,0.00269552295863441,"MDGA2/LHX1/LHX5/TBX20/DBX1/MNX1/DRAXIN",7
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","28/1308","186/18842",0.150537634408602,2.1685245470389,4.37421767614372,8.63730664375532e-05,0.00288778186096731,0.00288778186096731,"GINS2/UHRF1/RAD51AP1/BLM/AUNIP/POLQ/CDC45/HELLS/FANCB/CDC7/BRCA2/PARPBP/PLK1/XRCC2/TEX15/MCM2/FEN1/GINS4/RAD21L1/CHEK1/MCM4/RAD54L/TONSL/ANKLE1/RMI2/RECQL4/RAD54B/RAD51",28
"GO:0045652","GO:0045652","regulation of megakaryocyte differentiation","10/1308","35/18842",0.285714285714286,4.11577107907383,5.03912518381431,9.26683039380699e-05,0.00307564071537521,0.00307564071537521,"H4C12/H4C9/H4C5/H4C14/H4C13/H4C8/H4C4/H4C1/H4C2/H4C3",10
"GO:0031570","GO:0031570","DNA integrity checkpoint signaling","21/1308","122/18842",0.172131147540984,2.4795833959994,4.4779762698355,9.47241527776533e-05,0.00312109219333326,0.00312109219333326,"CDC6/BLM/TICRR/CDC45/CLSPN/CDC7/BRCA2/DONSON/E2F1/CDT1/CDK1/RFC4/PLK1/BRIP1/DNA2/ORC1/H2AX/CHEK1/DTL/EME1/RAD51",21
"GO:0010971","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","8/1308","23/18842",0.347826086956522,5.01050392235075,5.25629750231821,0.000100828240134366,0.00327608032717678,0.00327608032717678,"CDC25B/CDC7/PHOX2B/CCNB1/CDC25A/CDK1/DTL/CDC25C",8
"GO:0009798","GO:0009798","axis specification","14/1308","64/18842",0.21875,3.1511372324159,4.70813364814198,0.000100868978624313,0.00327608032717678,0.00327608032717678,"STIL/OTX2/FOXA2/CDX2/LHX1/WT1/SIX3/RIPPLY2/WNT7A/SIX2/SHH/TIFAB/ZIC3/MESP2",14
"GO:0140694","GO:0140694","membraneless organelle assembly","51/1308","427/18842",0.11943793911007,1.72052725436693,4.11333266573758,0.000104376398105545,0.00336595377436817,0.00336595377436817,"CENPA/RACGAP1/ACTA1/IGF2BP1/STIL/UHRF1/SQLE/ANKRD1/WDR62/BIRC5/VIL1/GPSM2/KIF4B/ZAR1/CENPI/VCX/CENPF/TNNT1/PLK4/AURKB/CENPO/MAPK15/BOP1/SPAG5/PRC1/ACTN2/KIF4A/HJURP/SKA1/CENPW/KIF15/MYBPH/PLK1/CENPK/KIF11/CDCA8/KIF23/NDC80/CENPN/TPX2/DEUP1/FSCN1/KIFC1/OIP5/MYH6/DLGAP5/ANLN/CENPE/SKA3/NEK2/CCDC78",51
