"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031261","GO:0031261","DNA replication preinitiation complex","7/1404","13/19979",0.538461538461538,7.66233837387684,6.60614308735926,9.81465431600127e-06,0.000443295219939391,0.000443295219939391,"GINS2/CDC45/GINS1/MCM2/GINS4/MCM4/SLC5A8",7
"GO:0005614","GO:0005614","interstitial matrix","19/1404","98/19979",0.193877551020408,2.75888859817431,4.79874205300688,4.49859583755637e-05,0.00179566797704816,0.00179566797704816,"COL10A1/FN1/COL22A1/COL11A2/BGN/NCAN/FBN3/COL11A1/COL9A1/EPYC/COMP/HAPLN3/ACAN/FBN2/NYX/COL9A3/MFAP2/COL2A1/HAPLN1",19
"GO:0000781","GO:0000781","chromosome, telomeric region","28/1404","178/19979",0.157303370786517,2.23843592944717,4.56283883881212,4.86236789638858e-05,0.00179566797704816,0.00179566797704816,"ALYREF/RAD51AP1/BLM/H4C12/H4C9/H4C5/BRCA2/H4C14/CDK1/DNA2/ORC1/MCM2/FEN1/H2AX/H4C13/H2BC3/H4C8/CHEK1/H4C4/H4C1/MCM4/H4C2/PIF1/EZH2/RECQL4/TERT/H4C3/RAD51",28
"GO:0009897","GO:0009897","external side of plasma membrane","48/1404","378/19979",0.126984126984127,1.80699136254692,4.35482611901504,4.969560822089e-05,0.00179566797704816,0.00179566797704816,"MS4A1/LAG3/CCR8/SLC7A5/CXCR3/UMODL1/IL21R/CTLA4/RAET1L/FCRL4/FCRL3/PCSK9/CD207/CLEC4D/CD80/TNFRSF18/GFRA3/TNFRSF9/FCGR1A/F2/CXCL10/TRPM8/IL31RA/CD24/CD1A/MUC16/CD79A/CCR7/PLAUR/RTN4R/IL12RB2/CD1B/SEMA7A/MOG/ULBP2/PDCD1/RTBDN/CD19/TFR2/FCRL1/CLEC6A/CRLF1/LCT/FCRLA/SDC1/CXCR5/ULBP1/CXCL9",48
"GO:0000922","GO:0000922","spindle pole","28/1404","187/19979",0.149732620320856,2.13070371893901,4.27090518190736,0.000117539834646904,0.00398166189866386,0.00398166189866386,"CDC6/DIAPH3/WDR62/PSRC1/AUNIP/CSAG1/GPSM2/SGO1/CDC20/TACC3/CDC25B/CENPF/AURKB/SPAG5/MAD2L1/PRC1/CKAP2L/AURKA/CCNB1/ASPM/KIF15/PLK1/KIF11/TPX2/DLGAP5/SACK1D/NEK2/POC1A",28
"GO:0000228","GO:0000228","nuclear chromosome","32/1404","232/19979",0.137931034482759,1.96276648000786,4.05517441128522,0.000193193696362577,0.00615946961344216,0.00615946961344216,"GINS2/SMC1B/BIRC5/ANP32E/BLM/MCM10/CDX2/HORMAD1/DNMT3L/BRCA2/FIRRE/E2F1/ORC6/GINS1/PLK1/ORC1/MCM2/HMGA2/H2AX/NCAPG/GINS4/NCAPH/CHEK1/FAM9A/MCM4/TONSL/SMC4/SLC5A8/EME1/NEK2/RAD51/TOP2A",32
"GO:0071162","GO:0071162","CMG complex","5/1404","10/19979",0.5,7.11502849002849,5.31759764400667,0.000317955594746086,0.0095739962417988,0.0095739962417988,"GINS2/GINS1/MCM2/GINS4/MCM4",5
"GO:0140152","GO:0140152","collagenous component of interstitial matrix","7/1404","21/19979",0.333333333333333,4.74335232668566,4.71853293142243,0.00040334782991099,0.0115060275690398,0.0115060275690398,"COL10A1/COL22A1/COL11A2/COL11A1/COL9A1/COL9A3/COL2A1",7
"GO:0140151","GO:0140151","solid phase of interstitial matrix","13/1404","64/19979",0.203125,2.89048032407407,4.1645409831707,0.000433359872285009,0.0117440525389237,0.0117440525389237,"COL10A1/FN1/COL22A1/COL11A2/BGN/FBN3/COL11A1/COL9A1/COMP/FBN2/COL9A3/MFAP2/COL2A1",13
"GO:0045211","GO:0045211","postsynaptic membrane","39/1404","319/19979",0.122257053291536,1.73972483455242,3.66158340601635,0.00052238217115806,0.0134824350841747,0.0134824350841747,"CHRND/CNIH2/SYNDIG1/SLC6A11/ANP32E/GABRA5/SHC4/GPR158/KCNJ4/OPRK1/CHRNA6/CHRNG/NETO1/CACNG5/GABBR2/IGSF9/GABRQ/CNR2/GABRD/LRFN4/HTR3A/CHRNA9/LRFN1/LRP8/ACTN2/CHRNA5/PRR7/CHRM3/PCDH8/SHISA8/HTR3B/SLC6A9/OPRD1/SORCS3/GABRA3/GRIN2D/CHRNB4/CSMD2/GABRA1",39
"GO:0000794","GO:0000794","condensed nuclear chromosome","15/1404","83/19979",0.180722891566265,2.57169704458861,3.9447559840949,0.000608216259395961,0.0149842369360278,0.0149842369360278,"SMC1B/BLM/CDX2/HORMAD1/DNMT3L/BRCA2/PLK1/H2AX/NCAPG/NCAPH/CHEK1/FAM9A/SMC4/NEK2/RAD51",15
