"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005539","GO:0005539","glycosaminoglycan binding","30/1355","233/18706",0.128755364806867,1.77748919120092,3.33725855064367,0.0015343016026172,0.0281184252887805,0.0281184252887805,"FN1/CCN4/BGN/CXCL11/PLA2G2D/NCAN/AOC1/PGLYRP3/TGFBR3L/SERPINE2/CCL7/H1-1/PGLYRP4/NRTN/F2/RSPO2/PODXL2/CXCL10/EPYC/COMP/HAPLN3/ACAN/SHH/RTN4R/APLP1/RSPO4/CEMIP/HMMR/HAPLN1/CXCL8",30
"GO:0008574","GO:0008574","plus-end-directed microtubule motor activity","6/1355","19/18706",0.315789473684211,4.35952612157701,4.09422097516711,0.00170415253680898,0.0306065795610892,0.0306065795610892,"KIF18A/KIF1A/KIF15/KIF18B/KIF11/KIF14",6
"GO:0015631","GO:0015631","tubulin binding","45/1355","396/18706",0.113636363636364,1.56876886950688,3.19687376686938,0.00178788067303303,0.0314807224388953,0.0314807224388953,"KIF18A/RACGAP1/DIAPH3/BIRC5/PSRC1/KNL1/NEFL/AGBL1/MAST1/FTCD/KIF4B/SPC24/KIF26B/CENPF/FSD1/S100A8/SPAG5/BRCA2/PRC1/KIF4A/KIF1A/KIF20A/MAP7D2/GTSE1/SKA1/GAS2L3/KIF15/STMN1/KIF18B/PLK1/KIF11/KIF23/NDC80/KIF2C/S100A9/KIF14/JAKMIP1/KIFC1/DLGAP5/CENPE/SACK1D/SKA3/GJB6/NUF2/NEFH",45
"GO:0061783","GO:0061783","peptidoglycan muralytic activity","5/1355","14/18706",0.357142857142857,4.93041644702161,4.11112752996406,0.00227832733553713,0.038745696736416,0.038745696736416,"PGLYRP3/LYZL2/PGLYRP4/LYZL1/LYZ",5
"GO:0015464","GO:0015464","acetylcholine receptor activity","6/1355","20/18706",0.3,4.14154981549815,3.92814061047682,0.0022867727472495,0.038745696736416,0.038745696736416,"CHRND/CHRNA6/CHRNG/CHRNA5/CHRM3/CHRNB4",6
"GO:0001653","GO:0001653","peptide receptor activity","19/1355","130/18706",0.146153846153846,2.01767811524269,3.25381052203704,0.00258881765639071,0.0430510788044233,0.0430510788044233,"RXFP3/GHRHR/HCRTR2/OPRK1/PROKR2/CCKBR/NPFFR1/KISS1R/NPBWR1/GAL/MCHR2/GPR84/NTSR1/GALR2/QRFPR/OPRD1/SORCS3/RXFP1/AVPR1B",19
"GO:0005261","GO:0005261","monoatomic cation channel activity","39/1355","338/18706",0.115384615384615,1.5929037751916,3.07395764627813,0.00266474264387118,0.0431376940343234,0.0431376940343234,"CHRND/SLC24A2/P2RX5/PANX3/UNC80/KCNJ4/CHRNA6/CHRNG/KCNG1/CACNA1B/CACNG5/CACNA1E/CALHM3/KCNK9/HTR3A/HCN2/CHRNA9/KCNJ18/CHRNA5/CNGB1/CALHM6/TRPM8/TRPA1/KCNJ6/CNGA2/MCOLN2/HTR3B/KCNH2/KCNK5/KCNJ10/KCNG3/OTOP1/SLC7A11/KCNV1/GRIN2D/KCNQ5/SCN1A/ASIC5/CHRNB4",39
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","9/1355","42/18706",0.214285714285714,2.95824986821297,3.55039470567902,0.00269010118699567,0.0431376940343234,0.0431376940343234,"COL10A1/COL22A1/COL11A2/COL11A1/COL6A5/COL9A1/COL9A3/COL19A1/COL2A1",9
"GO:0098960","GO:0098960","postsynaptic neurotransmitter receptor activity","7/1355","28/18706",0.25,3.45129151291513,3.62739659238674,0.00315770239155659,0.0497476622389091,0.0497476622389091,"CHRND/CHRNA6/CHRNG/CHRNA9/CHRNA5/CHRM3/CHRNB4",7
"GO:0099589","GO:0099589","serotonin receptor activity","5/1355","15/18706",0.333333333333333,4.60172201722017,3.89965152947468,0.00321538187511472,0.0497829814457417,0.0497829814457417,"HTR1A/HTR2C/HTR3A/HTR3B/HTR1D",5
